# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
1.000000000000000000e+00 0.000000000000000000e+00 2.345154588795861346e+05 1.000000291700603228e+00 -1.042298332223245261e+01 4.825517497586311322e-01 7.003596028351515734e+00 4.406119496397406010e+01 6.265648098121612009e+01 1.265323403653004740e-02 7.701900281628197718e+02 8.927494442157001345e-03
2.000000000000000000e+00 2.190968236917503380e-06 2.387263437945256883e+05 1.000003793417795439e+00 -7.969657090336037975e+00 4.825761233499085701e-01 7.029164589207993252e+00 4.427571453559778547e+01 6.304083627446332372e+01 1.224420039380765858e-02 7.710113075364907900e+02 8.927494263091004939e-03
3.000000000000000000e+00 4.381936473835006759e-06 2.058384229388775129e+05 1.000007280488084405e+00 -6.492429785889209271e+00 4.825952275615235099e-01 6.091732787252736259e+00 3.692976188678918703e+01 5.297995446908642236e+01 1.056150772506437782e-02 7.926445549436841702e+02 8.927552966769416315e-03
4.000000000000000000e+00 6.572904710752510563e-06 2.052314652181327983e+05 1.000010759420304929e+00 -5.532088995122889763e+00 4.826111517569412479e-01 6.200997348004561260e+00 3.737580040807701920e+01 5.354631962936927891e+01 1.091462835330305955e-02 7.922661230934116929e+02 8.927531819748027106e-03
5.000000000000000000e+00 8.763872947670013519e-06 1.841757701639583975e+05 1.000014235845492205e+00 -4.859734741616763110e+00 4.826250130684148210e-01 5.558334206852983073e+00 3.233636250782392807e+01 4.638211510673558280e+01 9.569491052104483336e-03 8.095402262325914080e+02 8.927573055751531275e-03
6.000000000000000000e+00 1.095484118458751647e-05 1.768405347590590827e+05 1.000017713178949386e+00 -4.359931285701606818e+00 4.826374367229612772e-01 5.574473636938343191e+00 3.214861515351137911e+01 4.600297463467403958e+01 9.954681332289303658e-03 8.494482955218196594e+02 8.927550657921556887e-03
7.000000000000000000e+00 1.314580942150501943e-05 1.589029244725666067e+05 1.000021196557541181e+00 -3.970341110259124395e+00 4.826487953524695174e-01 5.066398156426670241e+00 2.788951266338482071e+01 3.997659463590687068e+01 9.092593947686631803e-03 8.543628428209931371e+02 8.927567641058984510e-03
8.000000000000000000e+00 1.533677765842252408e-05 1.595827061074901721e+05 1.000024685006154934e+00 -3.655536899811426377e+00 4.826593242930727334e-01 5.097716474729253378e+00 2.787248460491457536e+01 4.011449044114064577e+01 8.859026830708287628e-03 8.531092981903572081e+02 8.927560310712430794e-03
9.000000000000000000e+00 1.752774589534002704e-05 1.571099064768073149e+05 1.000028195752354687e+00 -3.394122001932119659e+00 4.826691830089458457e-01 5.106515959868401566e+00 2.786733493918002225e+01 4.012176832594561660e+01 9.126222128918183227e-03 8.559181488702812430e+02 8.927545310237984880e-03
1.000000000000000000e+01 1.971871413225752999e-05 1.550845132700740942e+05 1.000031702089194674e+00 -3.172422904544486499e+00 4.826784877491087089e-01 4.973771000426682853e+00 2.675464953105970878e+01 3.835009803529191430e+01 8.928676140669541961e-03 8.543088684612199586e+02 8.927543686692752598e-03
