# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
1.000000000000000000e+00 0.000000000000000000e+00 7.303529463748789567e+04 1.000000291703602384e+00 9.999997082585013741e-01 4.999999408832597192e-01 1.432626895992571463e+03 2.842495755047177397e+01 4.054842955972483765e+01 1.967284197654474154e+00 1.864114663634057756e+00 1.999956586571313236e-05
2.000000000000000000e+00 1.069463552029193298e-07 7.303077293266160996e+04 1.000104328033002865e+00 9.999999939010690841e-01 5.000000104121089528e-01 1.432619017934687463e+03 2.840913006477667579e+01 4.053005281933606341e+01 2.001358047889985059e+00 1.864161632281073011e+00 1.999956586585236424e-05
3.000000000000000000e+00 2.105336428435392237e-07 7.616363682806806173e+04 1.000238866683069494e+00 1.000000278848773183e+00 5.000000794811524374e-01 1.474552312920621262e+03 2.856413590910021583e+01 4.074000510419094212e+01 2.071161179375980765e+00 1.863831957172862763e+00 1.999956551425884391e-05
4.000000000000000000e+00 3.110240299210003564e-07 7.931230874731787480e+04 1.000378372375637426e+00 1.000000556660028739e+00 5.000001469577398661e-01 1.515720895489529539e+03 2.871773869289133785e+01 4.094779349391366452e+01 2.141787917320634449e+00 1.863499260439512417e+00 1.999956519702832878e-05
5.000000000000000000e+00 4.086064116135917869e-07 8.251935699970429414e+04 1.000523561212102175e+00 1.000000828646795847e+00 5.000002126317849571e-01 1.556756670448652130e+03 2.886977705171895536e+01 4.115343515007106134e+01 2.213707653678300691e+00 1.863172787336778713e+00 1.999956484035665281e-05
6.000000000000000000e+00 5.034531630928432391e-07 8.578436605138276354e+04 1.000674491625775930e+00 1.000001095030079945e+00 5.000002766216594674e-01 1.597661534254410071e+03 2.902036376131301054e+01 4.135709378926539870e+01 2.286909065471954161e+00 1.862851487607424916e+00 1.999956444420329394e-05
7.000000000000000000e+00 5.957213496579280904e-07 8.910725860729820852e+04 1.000831137054094100e+00 1.000001356168298328e+00 5.000003390270837400e-01 1.638442118685914465e+03 2.916957531415818750e+01 4.155887226135309476e+01 2.361390649145407750e+00 1.862535198842787176e+00 1.999956407014439987e-05
8.000000000000000000e+00 6.855545381531199376e-07 9.248796403598187317e+04 1.000993497679760980e+00 1.000001612358011993e+00 5.000003999382223174e-01 1.679104690210352828e+03 2.931747984289795284e+01 4.175886165906856462e+01 2.437150408370288623e+00 1.862272792331023163e+00 1.999956371635647806e-05
9.000000000000000000e+00 7.730843251684053472e-07 9.592641395678918343e+04 1.001161569826645836e+00 1.000001863876698982e+00 5.000004594379374723e-01 1.719655098429435611e+03 2.946414028491888004e+01 4.195714624670193160e+01 2.514186391938098897e+00 1.862051104136603907e+00 1.999956338118726878e-05
1.000000000000000000e+01 8.584316534485685902e-07 9.942254250577984203e+04 1.001335354985498416e+00 1.000002110977589398e+00 5.000005176015749342e-01 1.760098816399928410e+03 2.960961428975374687e+01 4.215380311271006519e+01 2.592496738347088936e+00 1.861833600661563892e+00 1.999956306316929761e-05
1.100000000000000000e+01 9.417079502331267157e-07 1.029762857547456952e+05 1.001514797727670603e+00 1.000002353893850282e+00 5.000005744982517486e-01 1.800440955699827327e+03 2.975395602325724553e+01 4.234890513382708122e+01 2.672079836960886912e+00 1.861620193465324036e+00 1.999956276101262824e-05
1.200000000000000000e+01 1.023011781796519981e-06 1.065875825583531259e+05 1.001699839307434114e+00 1.000002592827618608e+00 5.000006301888386684e-01 1.840686309413803428e+03 2.989721617512066842e+01 4.254252071290044768e+01 2.752932073759883469e+00 1.861410796526118627e+00 1.999956247357326814e-05
1.300000000000000000e+01 1.102437146211037929e-06 1.102561793366297934e+05 1.001890478366662007e+00 1.000002827973540453e+00 5.000006847318139158e-01 1.880837274102646234e+03 3.003943357502291178e+01 4.273470199756958010e+01 2.835048896086149739e+00 1.861205342491685233e+00 1.999956219981577373e-05
1.400000000000000000e+01 1.180072715928421968e-06 1.139819447764223441e+05 1.002086707303216695e+00 1.000003059516152426e+00 5.000007381828476261e-01 1.920897407133416664e+03 3.018064799357157568e+01 4.292550229060939415e+01 2.918427811019395079e+00 1.861003768290232507e+00 1.999956193878450552e-05
1.500000000000000000e+01 1.256000884241807949e-06 1.177648181785552733e+05 1.002288521281860856e+00 1.000003287626660908e+00 5.000007905936589836e-01 1.960870775706944414e+03 3.032089899958662471e+01 4.311497466642081378e+01 3.003067221752456994e+00 1.860806008970528946e+00 1.999956168960143591e-05
1.600000000000000000e+01 1.330298353864451811e-06 1.216047420438773261e+05 1.002495913507778447e+00 1.000003512464216149e+00 5.000008420124125719e-01 2.000761221601302395e+03 3.046022386084338152e+01 4.330316917023952072e+01 3.088965713147202585e+00 1.860612002639084439e+00 1.999956145147022859e-05
1.700000000000000000e+01 1.403036657781655390e-06 1.255016635451757902e+05 1.002708868978095191e+00 1.000003734177041803e+00 5.000008924832081147e-01 2.040572396774975232e+03 3.059865704548883514e+01 4.349013190713958465e+01 3.176122105678305552e+00 1.860421705381427593e+00 1.999956122366568104e-05
1.800000000000000000e+01 1.474282620421770810e-06 1.294555352100503660e+05 1.002927374452640574e+00 1.000003952903432136e+00 5.000009420468771726e-01 2.080307781864934441e+03 3.073623024908811630e+01 4.367590531858321157e+01 3.264535033368937800e+00 1.860235066267092341e+00 1.999956100551802059e-05
1.900000000000000000e+01 1.544098767918971499e-06 1.334663144739184063e+05 1.003151417928923594e+00 1.000004168772645752e+00 5.000009907423790256e-01 2.119970692872272139e+03 3.087297377772374674e+01 4.386053022127018863e+01 3.354203146279507664e+00 1.860052022035670660e+00 1.999956079641610960e-05
2.000000000000000000e+01 1.612543695069519616e-06 1.375339630763478635e+05 1.003380989799431244e+00 1.000004381905695183e+00 5.000010386065159018e-01 2.159564287109598354e+03 3.100891641560939505e+01 4.404404535615574190e+01 3.445125422987255437e+00 1.859872519579069072e+00 1.999956059580219040e-05
2.100000000000000000e+01 1.679672393330090120e-06 1.416584474897636101e+05 1.003616086203310331e+00 1.000004592416038784e+00 5.000010856738047460e-01 2.199091579131988510e+03 3.114408507856454378e+01 4.422648694272772474e+01 3.537300877965134038e+00 1.859696508767790579e+00 1.999956040316284585e-05
2.200000000000000000e+01 1.745534065708453767e-06 1.458397391473215830e+05 1.003856692884568469e+00 1.000004800402372052e+00 5.000011319749477767e-01 2.238555457481232224e+03 3.127850521856031918e+01 4.440788924978159002e+01 3.630726918239935763e+00 1.859559336427780929e+00 1.999956021802431008e-05
2.300000000000000000e+01 1.810175086550641179e-06 1.500776536240727291e+05 1.004102795359306022e+00 1.000005005957534721e+00 5.000011775388073509e-01 2.277957207303475570e+03 3.141219581331403177e+01 4.458827781829809567e+01 3.725399155918998950e+00 1.859462794623363058e+00 1.999956003995750331e-05
2.400000000000000000e+01 1.873641520429686893e-06 1.543720069714032579e+05 1.004354388059971237e+00 1.000005209176303866e+00 5.000012223942481571e-01 2.317298049259547952e+03 3.154517477245759238e+01 4.476767678173560228e+01 3.821314967463998791e+00 1.859369570155420037e+00 1.999955986856558383e-05
2.500000000000000000e+01 1.935976820139125540e-06 1.587227740770488745e+05 1.004611465774260193e+00 1.000005410147982055e+00 5.000012665685173996e-01 2.356580565811486395e+03 3.167746398450103484e+01 4.494611571883344681e+01 3.918473630153688436e+00 1.859279629468887585e+00 1.999955970347613157e-05
2.600000000000000000e+01 1.997222024043446831e-06 1.631299336798256845e+05 1.004874023325453836e+00 1.000005608956835879e+00 5.000013100873192951e-01 2.395807233794136664e+03 3.180908424647988753e+01 4.512362273826644099e+01 4.016874459391110541e+00 1.859192934972260236e+00 1.999955954434418730e-05
2.700000000000000000e+01 2.057415936289970491e-06 1.675934692128000897e+05 1.005142055309708571e+00 1.000005805682497195e+00 5.000013529749477437e-01 2.434980436984401877e+03 3.194005512574390337e+01 4.530022426385004763e+01 4.116516881447150666e+00 1.859109455478022754e+00 1.999955939084948784e-05
2.800000000000000000e+01 2.116595288517337702e-06 1.721133690179843979e+05 1.005415556334979810e+00 1.000006000400288197e+00 5.000013952543670426e-01 2.474102471830846298e+03 3.207039513513588957e+01 4.547594530970638971e+01 4.217400429186302979e+00 1.859029168799383847e+00 1.999955924269501264e-05
2.900000000000000000e+01 2.174794886840962471e-06 1.766896262903418974e+05 1.005694521979676681e+00 1.000006193181538050e+00 5.000014369473314568e-01 2.513175553849266180e+03 3.220012191879514774e+01 4.565080973759633309e+01 4.319524740483270620e+00 1.858952055955171989e+00 1.999955909960460183e-05
3.000000000000000000e+01 2.232047746212745197e-06 1.813222394953566836e+05 1.005978902767825423e+00 1.000006384093861334e+00 5.000014780741323106e-01 2.552201829476189687e+03 3.232925233475913984e+01 4.582484036371185709e+01 4.422889593978103662e+00 1.858878094026414018e+00 1.999955896132119110e-05
3.100000000000000000e+01 2.288385213184696399e-06 1.860112122003209079e+05 1.006268585534448867e+00 1.000006573201421611e+00 5.000015186533002254e-01 2.591183376846718147e+03 3.245780262079815515e+01 4.599805921475545745e+01 4.527494889793897137e+00 1.858807257284957215e+00 1.999955882760985076e-05
3.200000000000000000e+01 2.343835612430295192e-06 1.907565529271879932e+05 1.006563444411797459e+00 1.000006760560211649e+00 5.000015587013408869e-01 2.630122207885264743e+03 3.258578853182086732e+01 4.617048772544189461e+01 4.633339225309836884e+00 1.858739517705225941e+00 1.999955869825997454e-05
3.300000000000000000e+01 2.398424593044425545e-06 1.955581477541257918e+05 1.006863410356296784e+00 1.000006946218954695e+00 5.000015982333295694e-01 2.669019249996123108e+03 3.271322182695133307e+01 4.634214195673919079e+01 4.740418571190438968e+00 1.858674848950625069e+00 1.999955857307816789e-05
3.400000000000000000e+01 2.452179303006808866e-06 2.004157653630323475e+05 1.007168472814436111e+00 1.000007130233128150e+00 5.000016372658846464e-01 2.707874454167165823e+03 3.284011055162002179e+01 4.651303294287882295e+01 4.848730176409586257e+00 1.858613228162337538e+00 1.999955845187607100e-05
