# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
1.000000000000000000e+00 0.000000000000000000e+00 7.270537690761357953e+04 1.000000000000006661e+00 1.000000000000003331e+00 4.999999999999963918e-01 1.435446067054007472e+03 2.354948006561519236e+01 3.297675138437698195e+01 1.739478704562414935e+00 1.990555634310748667e+00 1.999956600157410340e-05
2.000000000000000000e+00 2.835906466412338265e-07 7.270014684825701988e+04 1.000272128039948694e+00 1.000000882053013740e+00 5.000000417051843060e-01 1.435433690545458603e+03 2.353248796284098887e+01 3.295722085065314388e+01 1.830901422212729557e+00 1.990680000476414691e+00 1.999956600164715152e-05
3.000000000000000000e+00 5.444388147704224262e-07 8.131060072809948178e+04 1.000625753125576889e+00 1.000001702442022244e+00 5.000000815823577582e-01 1.548630460075475639e+03 2.487329672719031493e+01 3.484327498740584872e+01 2.015286632651868359e+00 1.990007751712923545e+00 1.999956481473530207e-05
4.000000000000000000e+00 7.867303761405184169e-07 9.004444143193280615e+04 1.001015466392095377e+00 1.000002475428454884e+00 5.000001197436546585e-01 1.656860149704586775e+03 2.624295684109557314e+01 3.676924749227118383e+01 2.219674708679027386e+00 1.988961762728294946e+00 1.999956383149864713e-05
5.000000000000000000e+00 1.013005748169639071e-06 9.921075865623389836e+04 1.001444918263401096e+00 1.000003207954752726e+00 5.000001612780672344e-01 1.764623106493708974e+03 2.763384036314609205e+01 3.872510268542484368e+01 2.451187928189012766e+00 1.987474934978493479e+00 1.999956298144520410e-05
6.000000000000000000e+00 1.225330798442432265e-06 1.087940934404628351e+05 1.001913754033150861e+00 1.000003906299232748e+00 5.000002113210499921e-01 1.871821995931584752e+03 2.897776953745530548e+01 4.061474015869188747e+01 2.711197996611167671e+00 1.985506204091698867e+00 1.999956223860859184e-05
7.000000000000000000e+00 1.425393653401574400e-06 1.187857324466575956e+05 1.002421825614306039e+00 1.000004576005690149e+00 5.000002738996852658e-01 1.978470568630455318e+03 3.019365413884159111e+01 4.232394385498876943e+01 2.997366744408625383e+00 1.983102718146962040e+00 1.999956158442899710e-05
8.000000000000000000e+00 1.614572370635481498e-06 1.291749379344542249e+05 1.002968963997074248e+00 1.000005221740845274e+00 5.000003510550533603e-01 2.084557468241636343e+03 3.121509880198273734e+01 4.375919924187810750e+01 3.302504968462045110e+00 1.980413186748792409e+00 1.999956100400295309e-05
9.000000000000000000e+00 1.794039220959829432e-06 1.399527898760402750e+05 1.003554990792437263e+00 1.000005847252996682e+00 5.000004423248720631e-01 2.190070013651533372e+03 3.201907685360047395e+01 4.488856194292515056e+01 3.616584743864585505e+00 1.977643611502194476e+00 1.999956048507380498e-05
1.000000000000000000e+01 1.964787849661860625e-06 1.511173796447872883e+05 1.004179666960972384e+00 1.000006455233920732e+00 5.000005450219103809e-01 2.295040139693949186e+03 3.263458605658428269e+01 4.575416376471309832e+01 3.930449128958500182e+00 1.974973090750147708e+00 1.999956001759031085e-05
1.100000000000000000e+01 2.127662997080741193e-06 1.626723164118175628e+05 1.004842701430632479e+00 1.000007047425779838e+00 5.000006551788150899e-01 2.399537859235510950e+03 3.312654580797914861e+01 4.644521520462836861e+01 4.238626442060926536e+00 1.972497202073925537e+00 1.999955959349490037e-05
1.200000000000000000e+01 2.283373563567057164e-06 1.746233112285032112e+05 1.005543855488720162e+00 1.000007624843557208e+00 5.000007686460138379e-01 2.503651945320048981e+03 3.356648093431808633e+01 4.706245444280146728e+01 4.539989699804627854e+00 1.970220881581560723e+00 1.999955920654430375e-05
1.300000000000000000e+01 2.432536095403753255e-06 1.869743223786133167e+05 1.006282998377501459e+00 1.000008188153747257e+00 5.000008819042492947e-01 2.607459769932075233e+03 3.400972485056245631e+01 4.768391052916623352e+01 4.836466424149617360e+00 1.968091010987887080e+00 1.999955885185569792e-05
1.400000000000000000e+01 2.575695612725449341e-06 1.997280399759308202e+05 1.007060100546148806e+00 1.000008737913590906e+00 5.000009923841609583e-01 2.711028322886822480e+03 3.448827377013162732e+01 4.835476545486758226e+01 5.131235731023868318e+00 1.966035309036526568e+00 1.999955852545616633e-05
1.500000000000000000e+01 2.713329871949011869e-06 2.128865571288535721e+05 1.007875157118836018e+00 1.000009274656999292e+00 5.000010984116608492e-01 2.814414847199578617e+03 3.501478239582189644e+01 4.909293561501923620e+01 5.427430535538203316e+00 1.963987592710458641e+00 1.999955822408934502e-05
1.600000000000000000e+01 2.845844182728424089e-06 2.264511690194939147e+05 1.008728089338426503e+00 1.000009798874357925e+00 5.000011989897302778e-01 2.917663165979669884e+03 3.558919702372599403e+01 4.989839982208520297e+01 5.727574156494227964e+00 1.962128455672790484e+00 1.999955794501732874e-05
1.700000000000000000e+01 2.973908717242734004e-06 2.400047136264683504e+05 1.009617865500697542e+00 1.000010307057222825e+00 5.000012390678567620e-01 3.010232897751895962e+03 2.917333589814964157e+01 4.075677966237088157e+01 5.365548686287699098e+00 1.978481267856745829e+00 1.999955764283090480e-05
1.800000000000000000e+01 3.097558114246862345e-06 2.543600666975568456e+05 1.010542703665546771e+00 1.000010799469928102e+00 5.000012240530319341e-01 3.112652416221903877e+03 2.953403666234112279e+01 4.126069945668608341e+01 5.690529982010194665e+00 1.976583910006788569e+00 1.999955740203182491e-05
1.900000000000000000e+01 3.217087513787346342e-06 2.691038575468749041e+05 1.011505248240245791e+00 1.000011281983667510e+00 5.000012106206688234e-01 3.214758668283200677e+03 2.989096930735959390e+01 4.175620526807480815e+01 6.025720834175559482e+00 1.974565918381920637e+00 1.999955717796434267e-05
2.000000000000000000e+01 3.332766120910850115e-06 2.842499073602750432e+05 1.012505158246063575e+00 1.000011754793972640e+00 5.000011988767847360e-01 3.316744638709688388e+03 3.023415022786722872e+01 4.223238922864722156e+01 6.370550969786060058e+00 1.972429201590126135e+00 1.999955696882944821e-05
2.100000000000000000e+01 3.444841473576704948e-06 2.997988536847827490e+05 1.013541696104498735e+00 1.000012218534381603e+00 5.000011888298034890e-01 3.418628220502187560e+03 3.056471368762832341e+01 4.269095915309991796e+01 6.724885404768735420e+00 1.970166577750592118e+00 1.999955677317899979e-05
2.200000000000000000e+01 3.553530379798932198e-06 3.157525519818110624e+05 1.014614050019412739e+00 1.000012673738843949e+00 5.000011804685854377e-01 3.520432670260728628e+03 3.088375776143595175e+01 4.313348209075293482e+01 7.088639654089853082e+00 1.967773296618861467e+00 1.999955658981550965e-05
2.300000000000000000e+01 3.659025145565216701e-06 3.321119796438447665e+05 1.015722037599035232e+00 1.000013120867085936e+00 5.000011737709066928e-01 3.622173602852928525e+03 3.119224373748520662e+01 4.356133027128995394e+01 7.461742190111968043e+00 1.965244952935912393e+00 1.999955641768522477e-05
2.400000000000000000e+01 3.761513102951240652e-06 3.488774792705337168e+05 1.016865581673116026e+00 1.000013560384378941e+00 5.000011687085875733e-01 3.723861365608413053e+03 3.149101822149289021e+01 4.397735606710696743e+01 7.844160748605025546e+00 1.962577652690821406e+00 1.999955625582387607e-05
2.500000000000000000e+01 3.861164779383204281e-06 3.660514621058878838e+05 1.018044642122437393e+00 1.000013992710276911e+00 5.000011652501386017e-01 3.825517460681555804e+03 3.178088303769142797e+01 4.438269709264204010e+01 8.235906751990407670e+00 1.959767753322467554e+00 1.999955610335538752e-05
2.600000000000000000e+01 3.958119687572634300e-06 3.836364433193117729e+05 1.019258984371732568e+00 1.000014418153749585e+00 5.000011633636517461e-01 3.927162023517746093e+03 3.206257606372492575e+01 4.477697910867657782e+01 8.636973542217454280e+00 1.956812094652773615e+00 1.999955595950203720e-05
2.700000000000000000e+01 4.052523462428880243e-06 4.016320242373171495e+05 1.020508590022145112e+00 1.000014837071754092e+00 5.000011630171267152e-01 4.028797158058485365e+03 3.233674118576993806e+01 4.516112788646527321e+01 9.047365740881623708e+00 1.953708446069284621e+00 1.999955582359334771e-05
2.800000000000000000e+01 4.144510261976948888e-06 4.200411667416914133e+05 1.021793447577404423e+00 1.000015249791726069e+00 5.000011641802158957e-01 4.130443174404486854e+03 3.260403735721655494e+01 4.553608920518962577e+01 9.467135830507304561e+00 1.950454473871501504e+00 1.999955569500517773e-05
2.900000000000000000e+01 4.234190621482359656e-06 4.388670587303387001e+05 1.023113359219881335e+00 1.000015656554743115e+00 5.000011668245794016e-01 4.232119858152476809e+03 3.286510151858545470e+01 4.590277633833530757e+01 9.896315273972117410e+00 1.947048349485754004e+00 1.999955557317807556e-05
3.000000000000000000e+01 4.321676133534086657e-06 4.581102547588660964e+05 1.024468262358119830e+00 1.000016057623769328e+00 5.000011709244968072e-01 4.333831614442324280e+03 3.312052133887814165e+01 4.626209143991023609e+01 1.033493148560987684e+01 1.943489247642544715e+00 1.999955545762555290e-05
3.100000000000000000e+01 4.407074132561297701e-06 4.777734097965291585e+05 1.025858158034847811e+00 1.000016453259169769e+00 5.000011764572084294e-01 4.435593283286696533e+03 3.337089889160218092e+01 4.661919464419328563e+01 1.078305052976566714e+01 1.939776491874158904e+00 1.999955534789636482e-05
3.200000000000000000e+01 4.490475268226719486e-06 4.978602519341532025e+05 1.027282901058318210e+00 1.000016843660002097e+00 5.000011834023758706e-01 4.537423899563489613e+03 3.361683389565684621e+01 4.697081164632602679e+01 1.124073158644322135e+01 1.935909800663670577e+00 1.999955524357744044e-05
3.300000000000000000e+01 4.571965612848684451e-06 5.183725153198970365e+05 1.028742372210101008e+00 1.000017229017863052e+00 5.000011917425362107e-01 4.639331244922845144e+03 3.385892466681961110e+01 4.731779719387014183e+01 1.170801821277011001e+01 1.931889750699277819e+00 1.999955514430474873e-05
3.400000000000000000e+01 4.651632612390044056e-06 5.393124377075767843e+05 1.030236584268634736e+00 1.000017609544219033e+00 5.000012014639845237e-01 4.741324974432266572e+03 3.409776630022290078e+01 4.766099940855792738e+01 1.218498377011033718e+01 1.927717429827140228e+00 1.999955504974465696e-05
3.500000000000000000e+01 4.729552077052029117e-06 5.606842890088990098e+05 1.031765443356976952e+00 1.000017985408019117e+00 5.000012125554341713e-01 4.843423675914175874e+03 3.433401578450550318e+01 4.800135428966467543e+01 1.267171193954415287e+01 1.923394026579934968e+00 1.999955495958476921e-05
3.600000000000000000e+01 4.805791017531607756e-06 5.824909435066086007e+05 1.033328775602903038e+00 1.000018356747259363e+00 5.000012250080488885e-01 4.945638115710764396e+03 3.456830166592148856e+01 4.834388229884412169e+01 1.316826093132276476e+01 1.918921671793416328e+00 1.999955487354628629e-05
3.700000000000000000e+01 4.880421798270820554e-06 6.047342512363952119e+05 1.034926604911967640e+00 1.000018723736686876e+00 5.000012388175636424e-01 5.047973669456111566e+03 3.480124374984951885e+01 4.868680888321176781e+01 1.367471146733994480e+01 1.914303338811127242e+00 1.999955479137767328e-05
3.800000000000000000e+01 4.953508842864745867e-06 6.274190197089521680e+05 1.036558885901250893e+00 1.000019086522884626e+00 5.000012539824479907e-01 5.150448568892824369e+03 3.503350712965172420e+01 4.902981989529333617e+01 1.419117162985687308e+01 1.909542014136382804e+00 1.999955471283777314e-05
3.900000000000000000e+01 5.025104708233042584e-06 6.505492067583545577e+05 1.038225391574026935e+00 1.000019445203196966e+00 5.000012705026362081e-01 5.253076030393962355e+03 3.526575654100066970e+01 4.937385084947596425e+01 1.471771532272504146e+01 1.904641484268335683e+00 1.999955463770865783e-05
4.000000000000000000e+01 5.095270104766650498e-06 6.741262971963408636e+05 1.039926157137388785e+00 1.000019799924465325e+00 5.000012883839244360e-01 5.355857742720972055e+03 3.549863844776682242e+01 4.972053658635499573e+01 1.525443282117798560e+01 1.899606664956697610e+00 1.999955456579722080e-05
4.100000000000000000e+01 5.164060500421168181e-06 6.981556227873887401e+05 1.041661182471612879e+00 1.000020150816233633e+00 5.000013076353196917e-01 5.458811618766122592e+03 3.573284131018762366e+01 5.007561171558666047e+01 1.580145841247617611e+01 1.894442276589704655e+00 1.999955449691369615e-05
4.200000000000000000e+01 5.231517376112060918e-06 7.226421576592280762e+05 1.043430190513934708e+00 1.000020497944941633e+00 5.000013282663831049e-01 5.561952862342943263e+03 3.596905455421775599e+01 5.043473364005457427e+01 1.635888436271452306e+01 1.889153704148789803e+00 1.999955443088464882e-05
4.300000000000000000e+01 5.297692289081451950e-06 7.475870550398816122e+05 1.045233228034714523e+00 1.000020841436018326e+00 5.000013502940175991e-01 5.665280075544133979e+03 3.620793379002255818e+01 5.079880656338617939e+01 1.692681434002917484e+01 1.883798684728904327e+00 1.999955436755949329e-05
4.400000000000000000e+01 5.362633494991691636e-06 7.729961684839399531e+05 1.047070331973501744e+00 1.000021181405668314e+00 5.000013737392448032e-01 5.768810934801573239e+03 3.645017681406211096e+01 5.116879730884166122e+01 1.750541211313502643e+01 1.878404035288900653e+00 1.999955430678671570e-05
4.500000000000000000e+01 5.426373916128289997e-06 7.988754230237304000e+05 1.048941172216769413e+00 1.000021517896966028e+00 5.000013986226027329e-01 5.872562228980335931e+03 3.669648189476538391e+01 5.155050116308180463e+01 1.809479259416737307e+01 1.872895016913354249e+00 1.999955424842640313e-05
4.600000000000000000e+01 5.488957813434864649e-06 8.252256789169011172e+05 1.050845802871611001e+00 1.000021851018846109e+00 5.000014249739479499e-01 5.976529983493667714e+03 3.694749773514310931e+01 5.194194701753419707e+01 1.869507817680205974e+01 1.867279860779640810e+00 1.999955419235949325e-05
4.700000000000000000e+01 5.550427114983956814e-06 8.520533014498896664e+05 1.052784285860431268e+00 1.000022180874707622e+00 5.000014528281352399e-01 6.080731661180790070e+03 3.720391996166453197e+01 5.234225507430068802e+01 1.930646440274565023e+01 1.861566078198210183e+00 1.999955413846335941e-05
4.800000000000000000e+01 5.610796822705395739e-06 8.791733190462286584e+05 1.054757076066592081e+00 1.000022525120799033e+00 5.000014785931476968e-01 6.187200522294066104e+03 3.804305244278407372e+01 5.324609607411270673e+01 1.994980376382105547e+01 1.892557100264438130e+00 1.999955409294345985e-05
4.900000000000000000e+01 5.670116735336342776e-06 9.069533819011906162e+05 1.056764678349829678e+00 1.000022883766547244e+00 5.000015016419424585e-01 6.292067242389418425e+03 3.828575061620524167e+01 5.358487291123660157e+01 2.057267286325364353e+01 1.890305960707646227e+00 1.999955404294528693e-05
5.000000000000000000e+01 5.728422739883920890e-06 9.352448329968574690e+05 1.058806024277457070e+00 1.000023239787819485e+00 5.000015248029002768e-01 6.397256301933095529e+03 3.852760603474821721e+01 5.392056925702386394e+01 2.120641921209743685e+01 1.888117758800195611e+00 1.999955399483322260e-05
5.100000000000000000e+01 5.785736859340139970e-06 9.640368182525283191e+05 1.060880676608382478e+00 1.000023593309624648e+00 5.000015480344569552e-01 6.502737216971927410e+03 3.876454856390070347e+01 5.425077350650808228e+01 2.185090096931600101e+01 1.885952610739017876e+00 1.999955394849896523e-05
5.200000000000000000e+01 5.842092426195137534e-06 9.933305797760080313e+05 1.062988693459555600e+00 1.000023944428650502e+00 5.000015713101068071e-01 6.608505324269897756e+03 3.899646757226128102e+01 5.457437917736976374e+01 2.250616017634319022e+01 1.883807609554462470e+00 1.999955390386302925e-05
5.300000000000000000e+01 5.897520921819877756e-06 1.023133602621257771e+06 1.065130148760052409e+00 1.000024293233364281e+00 5.000015946009289669e-01 6.714577868267470876e+03 3.922352161608368704e+01 5.489086301489089692e+01 2.317230757293511800e+01 1.881676534684175506e+00 1.999955386084255790e-05
5.400000000000000000e+01 5.952040798270758226e-06 1.053453496982505545e+06 1.067304716485832028e+00 1.000024639736088572e+00 5.000016178649849818e-01 6.820971458636470743e+03 3.944587433395075493e+01 5.520049402006289085e+01 2.384938144615258793e+01 1.879552858214666777e+00 1.999955381936027127e-05
5.500000000000000000e+01 6.005681651023666506e-06 1.084291510331211612e+06 1.069512492352665323e+00 1.000024984024318053e+00 5.000016410624610330e-01 6.927680093111104725e+03 3.966364234216202078e+01 5.550347381593309848e+01 2.453742015668583676e+01 1.877430550158961431e+00 1.999955377935358042e-05
5.600000000000000000e+01 6.058470285676656705e-06 1.115655754049970536e+06 1.071753474537223694e+00 1.000025326173272777e+00 5.000016641546131124e-01 7.034721237671950803e+03 3.987696736044300394e+01 5.580003767531658099e+01 2.523652717859653904e+01 1.875302947383944430e+00 1.999955374075399424e-05
5.700000000000000000e+01 6.110422981792585047e-06 1.147553732786742505e+06 1.074027301171089466e+00 1.000025666194879426e+00 5.000016870956761617e-01 7.142109284642988314e+03 4.008598891097257422e+01 5.609041813733578863e+01 2.594673266899331665e+01 1.873163187500055393e+00 1.999955370349638947e-05
5.800000000000000000e+01 6.161566011174846300e-06 1.179987259801171254e+06 1.076334064267513657e+00 1.000026004170372351e+00 5.000017098416075223e-01 7.249839259111829961e+03 4.029080466304567665e+01 5.637478787100838673e+01 2.666807358798747529e+01 1.871004820363976417e+00 1.999955366752598001e-05
5.900000000000000000e+01 6.211921967784972897e-06 1.212964920945122605e+06 1.078673745889511482e+00 1.000026340161651150e+00 5.000017323437632166e-01 7.357928356459220595e+03 4.049154230490734108e+01 5.665335960548046046e+01 2.740064175201187524e+01 1.868820998402092703e+00 1.999955363278363958e-05
6.000000000000000000e+01 6.261505644557272966e-06 1.246493868928367738e+06 1.081046002581816712e+00 1.000026674182793451e+00 5.000017545468629088e-01 7.466388183039805881e+03 4.068831050605086830e+01 5.692631738718774415e+01 2.814445868337091028e+01 1.866605050116674658e+00 1.999955359921539862e-05
6.100000000000000000e+01 6.310340516678790575e-06 1.280576635551509215e+06 1.083450933203081279e+00 1.000027006309853528e+00 5.000017763964387241e-01 7.575215259493035774e+03 4.088118162421221058e+01 5.719379238292373913e+01 2.889956233164290111e+01 1.864350749441298527e+00 1.999955356677468726e-05
6.200000000000000000e+01 6.358445373006701011e-06 1.315222247788873035e+06 1.085888454578640472e+00 1.000027336591382987e+00 5.000017978326716239e-01 7.684426452772710945e+03 4.107025343429198472e+01 5.745720666332511684e+01 2.966603111088505784e+01 1.862051573465454135e+00 1.999955353541129339e-05
6.300000000000000000e+01 6.405834032602386469e-06 1.350437250996459741e+06 1.088358263620012201e+00 1.000027665045387870e+00 5.000018187902547373e-01 7.794030052573720241e+03 4.125560145139181145e+01 5.771732011021133246e+01 3.044387878457126106e+01 1.859701322882923336e+00 1.999955350508018535e-05
6.400000000000000000e+01 6.452527599213188354e-06 1.386225028530345298e+06 1.090860463413290571e+00 1.000027991743519973e+00 5.000018392039374815e-01 7.904024426422060060e+03 4.143727716077387413e+01 5.797245882108438053e+01 3.123314796709283669e+01 1.857294213998943011e+00 1.999955347574123749e-05
6.500000000000000000e+01 6.498541435575214331e-06 1.422595002797483234e+06 1.093394893207571661e+00 1.000028316721075283e+00 5.000018590027082155e-01 8.014426032382738413e+03 4.161535454075502116e+01 5.822275607961039157e+01 3.203390410961016244e+01 1.854824262258535583e+00 1.999955344735155268e-05
6.600000000000000000e+01 6.543888750840393261e-06 1.459552865257140948e+06 1.095961299502974606e+00 1.000028640001121127e+00 5.000018781114973221e-01 8.125239414563994615e+03 4.178988477162471327e+01 5.846831037548629695e+01 3.284615645515442850e+01 1.852285942885587566e+00 1.999955341987344473e-05
6.700000000000000000e+01 6.588588623555925332e-06 1.497102960808748845e+06 1.098559788222686961e+00 1.000028961651425075e+00 5.000018964547939815e-01 8.236465048530702916e+03 4.196090908863401125e+01 5.870920355901318999e+01 3.366995837895512977e+01 1.849674065890395847e+00 1.999955339327194134e-05
6.800000000000000000e+01 6.632653366183170522e-06 1.535255056833970826e+06 1.101190111288005147e+00 1.000029281694376992e+00 5.000019139513486310e-01 8.348118916320192511e+03 4.212849042556232604e+01 5.894554564899969762e+01 3.450536604070713054e+01 1.847121276822836888e+00 1.999955336751013221e-05
6.900000000000000000e+01 6.676095808529703442e-06 1.574013775606148876e+06 1.103852071483376829e+00 1.000029600158534260e+00 5.000019305175822382e-01 8.460201543127934201e+03 4.229267065071991993e+01 5.917741405414428613e+01 3.535239067527471946e+01 1.844531889849484241e+00 1.999955334255641283e-05
7.000000000000000000e+01 6.718933288515363434e-06 1.613384487957718084e+06 1.106545776297140238e+00 1.000029917108093969e+00 5.000019460693796436e-01 8.572715625050093877e+03 4.245349371043392495e+01 5.940488603766944209e+01 3.621110524351561111e+01 1.841858282654884382e+00 1.999955331838005625e-05
7.100000000000000000e+01 6.761175463327112468e-06 1.653377245626158779e+06 1.109270885416826502e+00 1.000030232553253073e+00 5.000019605176250215e-01 8.685676591913448647e+03 4.261102638587321678e+01 5.962953896062805370e+01 3.708156438953962208e+01 1.839095839272010924e+00 1.999955329494909883e-05
7.200000000000000000e+01 6.802834888340111508e-06 1.693995441726184916e+06 1.112027259956734460e+00 1.000030546527717501e+00 5.000019737727821045e-01 8.799080869039004028e+03 4.276531300928785839e+01 5.985292980513323613e+01 3.796379109799195817e+01 1.836240752285512423e+00 1.999955327223693695e-05
7.300000000000000000e+01 6.843927396872977233e-06 1.735245466056521283e+06 1.114815007663267243e+00 1.000030859092221336e+00 5.000019857451463157e-01 8.912933275798244722e+03 4.291641014933026099e+01 6.007238482659950307e+01 3.885788902209145590e+01 1.833289428688479550e+00 1.999955325021640797e-05
7.400000000000000000e+01 6.884460425923981463e-06 1.777137587276802864e+06 1.117633698179398838e+00 1.000031170245991863e+00 5.000019963416969526e-01 9.027248613247109461e+03 4.306439514771791011e+01 6.028802316658189397e+01 3.976392276501810841e+01 1.830238328385253688e+00 1.999955322885973598e-05
7.500000000000000000e+01 6.924446236997264134e-06 1.819673903829798568e+06 1.120483246040699044e+00 1.000031480026636332e+00 5.000020054708590456e-01 9.142019401093324632e+03 4.320932713920011281e+01 6.049993340171602085e+01 4.068193926476880051e+01 1.827084840419662459e+00 1.999955320814446444e-05
7.600000000000000000e+01 6.963899356202060697e-06 1.862861711077833315e+06 1.123363758002893009e+00 1.000031788491340112e+00 5.000020130420025355e-01 9.257252216057417172e+03 4.335128822884606592e+01 6.070823358994280738e+01 4.161208493459923830e+01 1.823826401505557637e+00 1.999955318804648679e-05
7.700000000000000000e+01 7.002808489279823987e-06 1.906262307605018374e+06 1.126275833491683365e+00 1.000032077025636568e+00 5.000020334872001815e-01 9.378016944906990830e+03 5.410823246807176190e+01 7.535760195078614743e+01 4.304512876348491801e+01 1.953768254957460870e+00 1.999955316761478833e-05
7.800000000000000000e+01 7.041202651843392407e-06 1.950714355612020241e+06 1.129220764016138023e+00 1.000032345204338702e+00 5.000020674344946015e-01 9.494227920439476293e+03 5.455326650096896657e+01 7.597637899269902562e+01 4.403735383530958813e+01 1.952192654116144954e+00 1.999955314866490625e-05
7.900000000000000000e+01 7.079095236979335885e-06 1.995833728182869963e+06 1.132196349002664748e+00 1.000032610915252196e+00 5.000021013677904413e-01 9.610904604683182697e+03 5.501285114568646861e+01 7.661500638434564792e+01 4.504404948736471681e+01 1.950601446662916905e+00 1.999955313026796050e-05
8.000000000000000000e+01 7.116490271893667548e-06 2.041631815608770819e+06 1.135201918018076572e+00 1.000032874581345599e+00 5.000021352367659544e-01 9.728064812541815627e+03 5.547480821611338797e+01 7.725691125060413356e+01 4.606534152560644912e+01 1.948971960503009360e+00 1.999955311240492672e-05
