# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
1.000000000000000000e+00 0.000000000000000000e+00 7.267995335524753318e+04 1.000000876279595108e+00 9.999991232089811000e-01 4.999998223346615589e-01 1.426563330175522424e+03 1.914143801469716522e+01 2.649214527310665446e+01 1.944445183528920873e-01 1.993243557250108378e+00 1.999956605796044635e-05
2.000000000000000000e+00 1.407653277752373479e-07 7.267527035747186164e+04 1.000166758619764673e+00 9.999997111263085880e-01 4.999995541700583135e-01 1.426557511180350048e+03 1.912402441558031185e+01 2.647137173385203468e+01 2.402925836398082382e-01 1.993243200477990085e+00 1.999956605801160714e-05
3.000000000000000000e+00 2.757645421899774076e-07 7.685559376766176138e+04 1.000387078115887007e+00 1.000000281766551646e+00 4.999993107652799251e-01 1.481700258389721739e+03 1.934656342867430823e+01 2.678364676937894018e+01 3.358679584801629314e-01 1.993078293603838480e+00 1.999956542617135441e-05
4.000000000000000000e+00 4.055956543264920688e-07 8.105833277800196083e+04 1.000610502744096797e+00 1.000000836153392525e+00 4.999990813454514016e-01 1.535391302312458492e+03 1.956868516501709010e+01 2.709591966278880193e+01 4.353123335930647042e-01 1.992828636402531162e+00 1.999956484057920225e-05
5.000000000000000000e+00 5.306679673754528698e-07 8.536181272920734773e+04 1.000842433934263198e+00 1.000001375933952774e+00 4.999988630496535746e-01 1.588789064595611762e+03 1.979248136650702250e+01 2.741175486998025335e+01 5.375956386237672469e-01 1.992497797669283699e+00 1.999956430559825124e-05
6.000000000000000000e+00 6.513486745574299209e-07 8.976498414361484174e+04 1.001082228037408983e+00 1.000001902471055359e+00 4.999986556930209325e-01 1.641874541265296784e+03 2.002166726445857847e+01 2.773706237907782324e+01 6.443445672803171931e-01 1.992051085624791051e+00 1.999956380985042301e-05
7.000000000000000000e+00 7.679672672787750067e-07 9.426746112441120204e+04 1.001329993118638573e+00 1.000002417013637901e+00 4.999984592655286608e-01 1.694632902924334076e+03 2.026389253889416509e+01 2.808389879359209473e+01 7.581134627086705269e-01 1.991454917312576622e+00 1.999956335026519940e-05
8.000000000000000000e+00 8.808227250244750770e-07 9.886847788486702484e+04 1.001585739624975879e+00 1.000002920565577380e+00 4.999982745559725661e-01 1.747042387402016175e+03 2.053649852293358791e+01 2.848018303001717300e+01 8.853033760246999950e-01 1.990676716424171655e+00 1.999956292349540097e-05
9.000000000000000000e+00 9.901882032519200335e-07 1.035661044863335264e+05 1.001849527521573746e+00 1.000003413448903977e+00 4.999981041367810852e-01 1.799105099782659863e+03 2.088366326169783349e+01 2.899149846228220184e+01 1.043183602364661899e+00 1.989748190213963763e+00 1.999956252714485622e-05
1.000000000000000000e+01 1.097959111019446100e-06 1.083624926961193996e+05 1.002127682471774861e+00 1.000003830139308603e+00 4.999979991887304465e-01 1.832283124873054931e+03 2.636282870503672981e+01 3.719083881342127995e+01 1.645618025543169161e+00 1.952507752751385217e+00 1.999956227183437399e-05
1.100000000000000000e+01 1.201655255877100573e-06 1.140029492791666416e+05 1.002411683482729687e+00 1.000004438563584230e+00 4.999979716328994961e-01 1.897710065083695781e+03 1.648878248840923177e+01 2.406937102090271452e+01 2.263721552741447596e+00 1.863475171762539517e+00 1.999956186993063042e-05
1.200000000000000000e+01 1.301111594816129209e-06 1.186425930996266106e+05 1.002698070089619087e+00 1.000005209833261244e+00 4.999980083386509899e-01 1.968639180675374746e+03 1.903500635314158984e+01 2.717621409099324126e+01 3.223852396582767899e+00 1.888153397171365322e+00 1.999956147516256005e-05
1.300000000000000000e+01 1.396481831684294988e-06 1.235905694429544819e+05 1.002988543204239136e+00 1.000005831945267820e+00 4.999981467120441780e-01 2.041818355399305801e+03 2.064848681418984810e+01 2.923210599338235127e+01 4.459627205385577220e+00 1.901097326064586257e+00 1.999956109961355545e-05
